"","ENTITY_CD","ENTITY_NAME","PER_SUSPENSIONS"
"1151","261600861102","EXPLORATION ELE CS - SCIENCE-TECHNOL",13
"1152","261701060002","ETHEL K FYLE ELEMENTARY SCHOOL",1
"1153","261701060004","MONICA B LEARY ELEMENTARY SCHOOL",0
"1154","261701060005","DAVID B CRANE ELEMENTARY SCHOOL",2
"1155","261701060006","FLOYD S WINSLOW ELEMENTARY SCHOOL",1
"1156","261701060012","EMMA E SHERMAN ELEMENTARY SCHOOL",4
"1157","261701060013","RUSH-HENRIETTA SENIOR HIGH SCHOOL",6
"1158","261701060014","CHARLES H ROTH MIDDLE SCHOOL",10
"1159","261701060015","HENRY V BURGER MIDDLE SCHOOL",2
"1160","261701060016","MARY K VOLLMER ELEMETNARY SCHOOL",3
"1161","261801060002","GINTHER ELEMENTARY SCHOOL",0
"1162","261801060003","BROCKPORT HIGH SCHOOL",10
"1163","261801060004","BARCLAY ELEMENTARY SCHOOL",0
"1164","261801060005","A D OLIVER MIDDLE SCHOOL",7
"1165","261801060006","FRED W HILL SCHOOL",0
"1166","261901060002","DEWITT ROAD ELEMENTARY SCHOOL",0
"1167","261901060003","KLEM ROAD NORTH ELEMENTARY SCHOOL",1
"1168","261901060004","PLANK ROAD NORTH ELEMENTARY SCHOOL",0
"1169","261901060006","STATE ROAD ELEMENTARY SCHOOL",0
"1170","261901060007","SPRY MIDDLE SCHOOL",5
"1171","261901060009","WEBSTER-SCHROEDER HIGH SCHOOL",5
"1172","261901060010","WILLINK MIDDLE SCHOOL",3
"1173","261901060011","PLANK ROAD SOUTH ELEMENTARY SCHOOL",0
"1174","261901060013","KLEM ROAD SOUTH ELEMENTARY SCHOOL",0
"1175","261901060014","SCHLEGEL ROAD ELEMENTARY SCHOOL",0
"1176","261901060015","THOMAS HIGH SCHOOL",4
"1177","262001040003","WHEATLAND-CHILI HIGH SCHOOL",8
"1178","262001040004","T J CONNOR ELEMENTARY SCHOOL",2
"1179","270100010003","WILLIAM H BARKLEY MICROSOCIETY",10
"1180","270100010006","RAPHAEL J MCNULTY ACADEMY FOR INTERN STUDIES & LITERACY",6
"1181","270100010009","WILBUR H LYNCH LITERACY ACADEMY",21
"1182","270100010010","AMSTERDAM HIGH SCHOOL",20
"1183","270100010018","WILLIAM B TECLER ARTS IN EDUCATION",7
"1184","270100010019","MARIE CURIE INSTITUTE OF ENGINEERING AND COMMUNICATION",0
"1185","270301040002","CANAJOHARIE SENIOR HIGH SCHOOL",3
"1186","270301040003","CANAJOHARIE MIDDLE SCHOOL",7
"1187","270301040004","EAST HILL SCHOOL",0
"1188","270601040001","FONDA-FULTONVILLE K-4 SCHOOL",2
"1189","270601040002","FONDA-FULTONVILLE SENIOR HIGH SCHOOL",8
"1190","270601040003","FONDA-FULTONVILLE 5-8 SCHOOL",6
"1191","270701040001","HARRY HOAG SCHOOL",6
"1192","270701040003","FORT PLAIN JUNIOR-SENIOR HIGH SCHOOL",4
"1193","271201040000","OPPENHEIM-EPHRATAH-ST. JOHNSVILLE CSD",5
"1194","271201040001","OPPENHEIM-EPHRATAH-ST JOHNSVILLE ELEMENTARY/MIDDLE SCHOOL",5
"1195","271201040004","OPPENHEIM-EPHRATAH-ST JOHNSVILLE HIGH SCHOOL",7
"1196","280100010001","DEASY SCHOOL",1
"1197","280100010003","CONNOLLY SCHOOL",1
"1198","280100010004","GRIBBIN SCHOOL",2
"1199","280100010005","LANDING SCHOOL",2
"1200","280100010007","GLEN COVE HIGH SCHOOL",6
"1201","280100010008","ROBERT M FINLEY MIDDLE SCHOOL",11
"1202","280201030001","FRANKLIN SCHOOL",3
"1203","280201030002","DAVID PATERSON SCHOOL",5
"1204","280201030003","JACKSON MAIN ELEMENTARY SCHOOL",0
"1205","280201030004","BARACK OBAMA ELEMENTARY SCHOOL",1
"1206","280201030007","HEMPSTEAD HIGH SCHOOL",8
"1207","280201030008","MARSHALL SCHOOL",NA
"1208","280201030009","JACKSON ANNEX SCHOOL",4
"1209","280201030010","ALVERTA B GRAY SCHULTZ MIDDLE SCHOOL",18
"1210","280201030011","FRONT STREET ELEMENTARY SCHOOL",2
"1211","280201030016","PROSPECT ELEMENTARY SCHOOL",0
"1212","280201860934","ACADEMY CHARTER SCHOOL",3
"1213","280201860947","EVERGREEN CHARTER SCHOOL",3
"1214","280202030003","CALIFORNIA AVENUE ELEMENTARY SCHOOL",1
"1215","280202030004","GRAND AVENUE ELEMENTARY SCHOOL",3
"1216","280202030005","NORTHERN PARKWAY ELEMENTARY SCHOOL",3
"1217","280202030006","SMITH STREET ELEMENTARY SCHOOL",1
"1218","280202030007","WALNUT STREET ELEMENTARY SCHOOL",2
"1219","280202030008","LAWRENCE ROAD MIDDLE SCHOOL",10
"1220","280202030009","TURTLE HOOK MIDDLE SCHOOL",7
"1221","280202030010","UNIONDALE HIGH SCHOOL",12
"1222","280202861142","ACADEMY CHARTER SCHOOL-UNIONDALE",1
"1223","280203030001","BARNUM WOODS SCHOOL",0
"1224","280203030002","BOWLING GREEN SCHOOL",0
"1225","280203030003","MCVEY ELEMENTARY SCHOOL",0
"1226","280203030006","PARKWAY SCHOOL",0
"1227","280203030008","CLARKE MIDDLE SCHOOL",4
"1228","280203030009","WOODLAND MIDDLE SCHOOL",7
"1229","280203030010","W TRESPER CLARKE HIGH SCHOOL",4
"1230","280203030011","EAST MEADOW HIGH SCHOOL",6
"1231","280203030012","MEADOWBROOK ELEMENTARY SCHOOL",0
"1232","280204020003","NEWBRIDGE ROAD SCHOOL",0
"1233","280204020004","PARK AVENUE SCHOOL",0
"1234","280204020005","SAW MILL ROAD SCHOOL",0
"1235","280204020006","JOHN G DINKELMEYER SCHOOL",0
"1236","280204020007","MARTIN AVENUE ELEMENTARY SCHOOL",0
"1237","280205030001","EAST BROADWAY SCHOOL",0
"1238","280205030002","ABBEY LANE SCHOOL",0
"1239","280205030005","GARDINERS AVENUE SCHOOL",0
"1240","280205030006","LEE ROAD SCHOOL",0
"1241","280205030009","SUMMIT LANE SCHOOL",0
"1242","280205030010","WISDOM LANE MIDDLE SCHOOL",3
"1243","280205030011","NORTHSIDE SCHOOL",0
"1244","280205030013","JONAS E SALK MIDDLE SCHOOL",1
"1245","280205030015","DIVISION AVENUE SENIOR HIGH SCHOOL",4
"1246","280205030016","GEN DOUGLAS MACARTHUR SENIOR HIGH SCHOOL",3
"1247","280206030003","SEAFORD HARBOR SCHOOL",0
"1248","280206030004","SEAFORD MANOR SCHOOL",0
"1249","280206030005","SEAFORD MIDDLE SCHOOL",3
"1250","280206030006","SEAFORD SENIOR HIGH SCHOOL",3
"1251","280207020002","SHORE ROAD SCHOOL",1
"1252","280207020003","WINTHROP AVENUE SCHOOL",0
"1253","280207020004","REINHARD EARLY CHILDHOOD CENTER",0
"1254","280208030002","CENTENNIAL AVENUE ELEMENTARY SCHOOL",0
"1255","280208030003","ULYSSES BYAS ELEMENTARY SCHOOL",0
"1256","280208030004","WASHINGTON ROSE SCHOOL",2
"1257","280208030005","ROOSEVELT HIGH SCHOOL",8
"1258","280208030009","ROOSEVELT MIDDLE SCHOOL",5
"1259","280208860024","ROOSEVELT CHILDREN'S ACADEMY CHARTER SCHOOL",4
"1260","280209030001","ARCHER STREET SCHOOL",0
"1261","280209030002","BAYVIEW AVENUE SCHOOL",0
"1262","280209030003","CAROLINE G ATKINSON SCHOOL",2
"1263","280209030004","COLUMBUS AVENUE SCHOOL",0
"1264","280209030005","LEO F GIBLYN SCHOOL",1
"1265","280209030006","JOHN W DODD MIDDLE SCHOOL",12
"1266","280209030007","FREEPORT HIGH SCHOOL",12
"1267","280209030009","NEW VISIONS ELEMENTARY SCHOOL",2
"1268","280210030001","BROOKSIDE ELEMENTARY SCHOOL",1
"1269","280210030004","LENOX ELEMENTARY SCHOOL",0
"1270","280210030005","MEADOW ELEMENTARY SCHOOL",1
"1271","280210030007","PLAZA ELEMENTARY SCHOOL",0
"1272","280210030010","STEELE ELEMENTARY SCHOOL",0
"1273","280210030012","BALDWIN MIDDLE SCHOOL",3
"1274","280210030013","BALDWIN SENIOR HIGH SCHOOL",3
"1275","280211030002","SCHOOL 2",1
"1276","280211030003","SCHOOL 3",1
"1277","280211030004","SCHOOL 4",2
"1278","280211030005","SCHOOL 5",0
"1279","280211030007","SCHOOL 9E-BOARDMAN ELEM SCHOOL",0
"1280","280211030008","SCHOOL 8",0
"1281","280211030009","SCHOOL 9M-OCEANSIDE MIDDLE SCHOOL",6
"1282","280211030010","SCHOOL 7-OCEANSIDE SENIOR HIGH SCHOOL",4
"1283","280211030011","CASTLETON ACADEMY HIGH SCHOOL OF OCEANSIDE",22
"1284","280211030016","SCHOOL 6-KINDERGARTEN CENTER",0
"1285","280212030001","DAVISON AVENUE INTERMEDIATE SCHOOL",0
"1286","280212030002","MAURICE W DOWNING PRIMARY SCHOOL",1
"1287","280212030005","MALVERNE SENIOR HIGH SCHOOL",4
"1288","280212030006","HOWARD T HERBER MIDDLE SCHOOL",3
"1289","280213020001","JAMES A DEVER SCHOOL",2
"1290","280213020002","HOWELL ROAD SCHOOL",1
"1291","280213020003","WHEELER AVENUE SCHOOL",1
"1292","280213020004","WILLOW ROAD SCHOOL",0
"1293","280214030001","FRANKLIN EARLY CHILDHOOD CENTER",0
"1294","280214030002","HEWLETT ELEMENTARY SCHOOL",1
"1295","280214030003","OGDEN ELEMENTARY SCHOOL",0
"1296","280214030006","WOODMERE MIDDLE SCHOOL",3
"1297","280214030007","GEORGE W HEWLETT HIGH SCHOOL",4
"1298","280215030002","2 SCHOOL",0
"1299","280215030004","4 SCHOOL",NA
"1300","280215030005","5 SCHOOL",3
"1301","280215030007","LAWRENCE SENIOR HIGH SCHOOL",5
"1302","280215030008","LAWRENCE MIDDLE SCHOOL",14
"1303","280216020001","ALDEN TERRACE SCHOOL",1
"1304","280216020002","CLARA H CARLSON SCHOOL",1
"1305","280216020003","COVERT AVENUE SCHOOL",0
"1306","280216020004","DUTCH BROADWAY SCHOOL",0
"1307","280216020006","GOTHAM AVENUE SCHOOL",0
"1308","280216020007","STEWART MANOR SCHOOL",1
"1309","280217020001","JOHN STREET SCHOOL",0
"1310","280217020003","POLK STREET SCHOOL",0
"1311","280217020004","WASHINGTON STREET SCHOOL",0
"1312","280218030001","HEMLOCK SCHOOL",0
"1313","280218030002","HOMESTEAD SCHOOL",0
"1314","280218030003","LOCUST SCHOOL",0
"1315","280218030004","STRATFORD AVENUE SCHOOL",0
"1316","280218030005","STEWART SCHOOL",0
"1317","280218030006","GARDEN CITY MIDDLE SCHOOL",0
"1318","280218030007","GARDEN CITY HIGH SCHOOL",1
"1319","280219030001","RHAME AVENUE ELEMENTARY SCHOOL",0
"1320","280219030002","EAST ROCKAWAY JUNIOR-SENIOR HIGH SCHOOL",0
"1321","280219030004","CENTRE AVENUE ELEMENTARY SCHOOL",0
"1322","280220030001","KINDERGARTEN CENTER",1
"1323","280220030002","MARION STREET SCHOOL",0
"1324","280220030003","WAVERLY PARK SCHOOL",0
"1325","280220030004","WEST END SCHOOL",1
"1326","280220030005","LYNBROOK NORTH MIDDLE SCHOOL",1
"1327","280220030006","LYNBROOK SOUTH MIDDLE SCHOOL",6
"1328","280220030007","LYNBROOK SENIOR HIGH SCHOOL",2
"1329","280221030001","SOUTH SIDE HIGH SCHOOL",3
"1330","280221030002","SOUTH SIDE MIDDLE SCHOOL",0
"1331","280221030003","WATSON SCHOOL",0
"1332","280221030004","RIVERSIDE SCHOOL",1
"1333","280221030005","HEWITT SCHOOL",1
"1334","280221030006","WILLIAM S COVERT SCHOOL",2
"1335","280221030008","WILSON SCHOOL",0
"1336","280222020001","FLORAL PARK-BELLEROSE SCHOOL",0
"1337","280222020002","JOHN LEWIS CHILDS SCHOOL",0
"1338","280223030001","FOREST LAKE SCHOOL",0
"1339","280223030002","MANDALAY SCHOOL",0
"1340","280223030004","WANTAGH SCHOOL",0
"1341","280223030005","WANTAGH SENIOR HIGH SCHOOL",3
"1342","280223030006","WANTAGH MIDDLE SCHOOL",3
"1343","280224020001","BROOKLYN AVENUE SCHOOL",1
"1344","280224020003","ROBERT W CARBONARO SCHOOL",0
"1345","280224020004","WILLIAM L BUCK SCHOOL",0
"1346","280225020001","BIRCH SCHOOL",1
"1347","280225020002","NORMAN J LEVY LAKESIDE SCHOOL",0
"1348","280225020003","CHATTERTON SCHOOL",0
"1349","280226030002","ISLAND TREES MIDDLE SCHOOL",3
"1350","280226030003","MICHAEL F STOKES SCHOOL",1
"1351","280226030004","J FRED SPARKE SCHOOL",1
"1352","280226030006","ISLAND TREES HIGH SCHOOL",5
"1353","280227030002","CORNWELL AVENUE SCHOOL",0
"1354","280227030003","CHESTNUT STREET SCHOOL",0
"1355","280227030004","WEST HEMPSTEAD MIDDLE SCHOOL",4
"1356","280227030005","WEST HEMPSTEAD HIGH SCHOOL",8
"1357","280227030006","GEORGE WASHINGTON SCHOOL",0
"1358","280229020001","CAMP AVENUE SCHOOL",0
"1359","280229020002","HAROLD D FAYETTE SCHOOL",1
"1360","280229020003","OLD MILL ROAD SCHOOL",1
"1361","280230020001","CLEARSTREAM AVENUE SCHOOL",1
"1362","280230020002","FOREST ROAD SCHOOL",0
"1363","280230020003","SHAW AVENUE SCHOOL",0
"1364","280231020001","ISLAND PARK LINCOLN ORENS MIDDLE SCHOOL",0
"1365","280231020003","FRANCIS X HEGARTY ELEMENTARY SCHOOL",0
"1366","280251070001","VALLEY STREAM MEMORIAL JUNIOR HIGH SCHOOL",4
"1367","280251070002","VALLEY STREAM NORTH HIGH SCHOOL",3
"1368","280251070003","VALLEY STREAM SOUTH HIGH SCHOOL",1
"1369","280251070004","VALLEY STREAM CENTRAL HIGH SCHOOL",5
"1370","280252070002","ELMONT MEMORIAL HIGH SCHOOL",1
"1371","280252070003","FLORAL PARK MEMORIAL HIGH SCHOOL",0
"1372","280252070004","H FRANK CAREY HIGH SCHOOL",0
"1373","280252070005","NEW HYDE PARK MEMORIAL HIGH SCHOOL",0
"1374","280252070006","SEWANHAKA HIGH SCHOOL",0
"1375","280253070002","GRAND AVENUE MIDDLE SCHOOL",5
"1376","280253070004","MERRICK AVENUE MIDDLE SCHOOL",3
"1377","280253070005","SANFORD H CALHOUN HIGH SCHOOL",3
"1378","280253070006","WELLINGTON C MEPHAM HIGH SCHOOL",5
"1379","280253070007","JOHN F KENNEDY HIGH SCHOOL",4
"1380","280300010002","EAST ELEMENTARY SCHOOL",0
"1381","280300010003","LIDO ELEMENTARY SCHOOL",0
"1382","280300010004","WEST ELEMENTARY SCHOOL",0
"1383","280300010005","LINDELL BOULEVARD SCHOOL",0
"1384","280300010006","LONG BEACH MIDDLE SCHOOL",2
"1385","280300010008","LONG BEACH SENIOR HIGH SCHOOL",10
"1386","280401030001","PARK AVENUE SCHOOL",1
"1387","280401030002","DREXEL AVENUE SCHOOL",0
"1388","280401030003","DRYDEN STREET SCHOOL",0
"1389","280401030005","POWELLS LANE SCHOOL",0
"1390","280401030006","WESTBURY MIDDLE SCHOOL",7
"1391","280401030007","WESTBURY HIGH SCHOOL",4
"1392","280402030001","NORTH SIDE SCHOOL",0
"1393","280402030002","WILLETS ROAD SCHOOL",0
"1394","280402030003","WHEATLEY SCHOOL",0
"1395","280403030004","EAST HILLS ELEMENTARY SCHOOL",0
"1396","280403030006","ROSLYN HEIGHTS ELEMENTARY SCHOOL",0
"1397","280403030007","HARBOR HILL SCHOOL",0
"1398","280403030008","ROSLYN HIGH SCHOOL",0
"1399","280403030009","ROSLYN MIDDLE SCHOOL",1
"1400","280404030002","GUGGENHEIM ELEMENTARY SCHOOL",0
"1401","280404030004","MANORHAVEN ELEMENTARY SCHOOL",0
"1402","280404030005","JOHN J DALY ELEMENTARY SCHOOL",0
"1403","280404030006","SOUTH SALEM ELEMENTARY SCHOOL",0
"1404","280404030007","JOHN PHILIP SOUSA ELEMENTARY SCHOOL",0
"1405","280404030008","CARRIE PALMER WEBER MIDDLE SCHOOL",1
"1406","280404030009","PAUL D SCHREIBER SENIOR HIGH SCHOOL",3
"1407","280405020001","GARDEN CITY PARK SCHOOL",0
"1408","280405020002","NEW HYDE PARK ROAD SCHOOL",1
"1409","280405020003","HILLSIDE GRADE SCHOOL",0
"1410","280405020004","MANOR OAKS WILLIAM BOWIE SCHOOL",0
"1411","280406030002","MANHASSET SECONDARY SCHOOL",1
"1412","280406030003","MUNSEY PARK ELEMENTARY SCHOOL",1
"1413","280406030004","SHELTER ROCK ELEMENTARY SCHOOL",0
"1414","280406030005","MANHASSET MIDDLE SCHOOL",1
"1415","280407030006","E M BAKER SCHOOL",0
"1416","280407030007","JOHN F KENNEDY SCHOOL",0
"1417","280407030008","LAKEVILLE ELEMENTARY SCHOOL",0
"1418","280407030009","EARLY CHILDHOOD CENTER",0
"1419","280407030010","SADDLE ROCK SCHOOL",0
"1420","280407030012","GREAT NECK NORTH MIDDLE SCHOOL",1
"1421","280407030013","GREAT NECK SOUTH MIDDLE SCHOOL",0
"1422","280407030014","GREAT NECK SOUTH HIGH SCHOOL",0
"1423","280407030015","GREAT NECK NORTH HIGH SCHOOL",0
"1424","280407030016","VILLAGE SCHOOL",0
"1425","280409030001","CENTER STREET SCHOOL",0
"1426","280409030002","DENTON AVENUE SCHOOL",0
"1427","280409030004","SEARINGTOWN SCHOOL",0
"1428","280409030007","HERRICKS MIDDLE SCHOOL",2
"1429","280409030008","HERRICKS HIGH SCHOOL",2
"1430","280410030002","HAMPTON STREET SCHOOL",0
"1431","280410030003","JACKSON AVENUE SCHOOL",1
"1432","280410030004","MEADOW DRIVE SCHOOL",0
"1433","280410030006","MINEOLA HIGH SCHOOL",3
"1434","280410030007","MINEOLA MIDDLE SCHOOL",1
"1435","280411030001","CHERRY LANE SCHOOL",0
"1436","280411030002","RUSHMORE AVENUE SCHOOL",2
"1437","280411030003","CARLE PLACE MIDDLE SENIOR HIGH SCHOOL",4
"1438","280501060001","GLEN HEAD ELEMENTARY SCHOOL",0
"1439","280501060002","GLENWOOD LANDING ELEMENTARY SCHOOL",0
"1440","280501060003","SEA CLIFF ELEMENTARY SCHOOL",0
"1441","280501060004","NORTH SHORE SENIOR HIGH SCHOOL",1
"1442","280501060005","NORTH SHORE MIDDLE SCHOOL",4
"1443","280502060001","WALT WHITMAN ELEMENTARY SCHOOL",0
"1444","280502060002","WILLITS ELEMENTARY SCHOOL",0
"1445","280502060003","BERRY HILL ELEMENTARY SCHOOL",1
"1446","280502060004","BAYLIS ELEMENTARY SCHOOL",0
"1447","280502060006","ROBBINS LANE ELEMENTARY SCHOOL",0
"1448","280502060007","SOUTH GROVE ELEMENTARY SCHOOL",0
"1449","280502060010","VILLAGE ELEMENTARY SCHOOL",1
"1450","280502060011","H B THOMPSON MIDDLE SCHOOL",0
"1451","280502060012","SOUTH WOODS MIDDLE SCHOOL",0
"1452","280502060014","SYOSSET SENIOR HIGH SCHOOL",2
"1453","280503060001","BAYVILLE ELEMENTARY SCHOOL",0
"1454","280503060002","LOCUST VALLEY MIDDLE SCHOOL",1
"1455","280503060003","LOCUST VALLEY HIGH SCHOOL",4
"1456","280503060004","LOCUST VALLEY ELEMENTARY SCHOOL",1
"1457","280503060005","BAYVILLE INTERMEDIATE SCHOOL",1
"1458","280503060006","LOCUST VALLEY INTERMEDIATE SCHOOL",1
"1459","280504060001","PASADENA ELEMENTARY SCHOOL",1
"1460","280504060004","PARKWAY SCHOOL",0
"1461","280504060006","H B MATTLIN MIDDLE SCHOOL",1
"1462","280504060010","PLAINVIEW-OLD BETHPAGE/JFK HIGH SCHOOL",2
"1463","280504060012","OLD BETHPAGE SCHOOL",0
"1464","280504060014","PLAINVIEW-OLD BETHPAGE MIDDLE SCHOOL",1
"1465","280504060015","STRATFORD ROAD SCHOOL",0
"1466","280506060002","OYSTER BAY HIGH SCHOOL",4
"1467","280506060003","THEODORE ROOSEVELT SCHOOL",1
"1468","280506060005","VERNON SCHOOL",1
"1469","280515030001","CANTIAGUE ELEMENTARY SCHOOL",0
"1470","280515030002","GEORGE A JACKSON SCHOOL",0
"1471","280515030003","ROBERT SEAMAN ELEMENTARY SCHOOL",0
"1472","280515030005","JERICHO SENIOR HIGH SCHOOL",1
"1473","280515030006","JERICHO MIDDLE SCHOOL",2
"1474","280517030001","BURNS AVENUE SCHOOL",0
"1475","280517030002","DUTCH LANE SCHOOL",0
"1476","280517030004","FORK LANE SCHOOL",0
"1477","280517030005","LEE AVENUE SCHOOL",0
"1478","280517030006","OLD COUNTRY ROAD SCHOOL",0
"1479","280517030008","WOODLAND AVENUE SCHOOL",0
"1480","280517030010","HICKSVILLE HIGH SCHOOL",6
"1481","280517030011","HICKSVILLE MIDDLE SCHOOL",3
"1482","280517030013","EAST STREET SCHOOL",0
"1483","280518030001","PLAINEDGE MIDDLE SCHOOL",0
"1484","280518030002","EASTPLAIN SCHOOL",0
"1485","280518030003","JOHN H WEST SCHOOL",0
"1486","280518030006","CHARLES E SCHWARTING SCHOOL",0
"1487","280518030009","PLAINEDGE SENIOR HIGH SCHOOL",3
"1488","280521030002","CENTRAL BOULEVARD ELEMENTARY SCHOOL",0
"1489","280521030003","CHARLES CAMPAGNE SCHOOL",0
"1490","280521030004","KRAMER LANE ELEMENTARY SCHOOL",0
"1491","280521030006","BETHPAGE SENIOR HIGH SCHOOL",3
"1492","280521030008","JOHN F KENNEDY MIDDLE SCHOOL",4
"1493","280522030001","ALBANY AVENUE ELEMENTARY SCHOOL",0
"1494","280522030002","SALTZMAN EAST MEMORIAL ELEMENTARY SCHOOL",0
"1495","280522030004","NORTHSIDE ELEMENTARY SCHOOL",1
"1496","280522030006","WOODWARD PARKWAY ELEMENTARY SCHOOL",1
"1497","280522030008","HOWITT SCHOOL",5
"1498","280522030009","FARMINGDALE SENIOR HIGH SCHOOL",5
"1499","280523030001","BIRCH LANE ELEMENTARY SCHOOL",0
"1500","280523030003","EAST LAKE ELEMENTARY SCHOOL",0
"1501","280523030004","FAIRFIELD ELEMENTARY SCHOOL",0
"1502","280523030006","LOCKHART ELEMENTARY SCHOOL",1
"1503","280523030007","UNQUA ELEMENTARY SCHOOL",0
"1504","280523030010","BERNER MIDDLE SCHOOL",1
"1505","280523030011","MASSAPEQUA HIGH SCHOOL",2
"1506","280523030012","MCKENNA ELEMENTARY SCHOOL",0
"1507","280523030014","MHS AMES CAMPUS",5
"1508","300000010000","NYC CHANCELLOR'S OFFICE",1
"1509","300000010777","BUREAU FOR HUNTER COLL CAMPUS SCHOOL",NA
"1510","307500011035","P.S.  35",NA
"1511","307500011079","P.S.  79 HORAN SCHOOL",NA
"1512","307500011094","P.S.  94",NA
"1513","307500011138","P.S. 138",NA
"1514","307500011169","P.S. 169 ROBERT F. KENNEDY SCHOOL",NA
"1515","307500011226","P.S. 226",NA
"1516","307500011401","HOSPITAL SCHOOLS",NA
"1517","307500011721","PS 721M - MANHATTAN  OCCUPATIONAL TRAINING CENTER",NA
"1518","307500011751","MANHATTAN SCHOOL FOR CAREER DEVELOPMENT",NA
"1519","307500011811","PS 811M - MICKEY MANTLE SCHOOL",NA
"1520","307500012010","P.S.  10",NA
"1521","307500012012","P.S.  12 LEWIS AND CLARK SCHOOL",NA
"1522","307500012017","P.S.  17",NA
"1523","307500012168","P.S. 168",NA
"1524","307500012176","P.S. 176",NA
"1525","307500012186","P.S. 186 WALTER J. DAMROSCH SCHOOL",NA
"1526","307500012188","P.S. 188",NA
"1527","307500012352","VIDA BOGART SCHOOL FOR ALL CHILDREN",NA
"1528","307500012469","BRONX SCHOOL FOR CONTINUOUS LEARNING",NA
"1529","307500012596","MS 596",NA
"1530","307500012721","PS 721X - STEVEN MCSWEENEY SCHOOL",NA
"1531","307500012723","SCHOOL 723",NA
"1532","307500012754","JM RAPPORT SCHOOL FOR CAREER DEVELOPMENT",NA
"1533","307500012811","P.S. 811X",NA
"1534","307500013004","PS 4K",NA
"1535","307500013036","P.S.  36",NA
"1536","307500013053","P.S.  53",NA
"1537","307500013077","P.S.  77",NA
"1538","307500013140","P.S. 140",NA
"1539","307500013141","P.S. 141",NA
"1540","307500013231","P.S. 231",NA
"1541","307500013368","P.S. 368",NA
"1542","307500013369","P.S. 369 COY L. COX SCHOOL",NA
"1543","307500013370","P.S. 370",NA
"1544","307500013371","P.S. 371 LILLIAN L. RASHKIS SCHOOL",NA
"1545","307500013372","P.S. 372 CHILDREN'S SCHOOL (THE)",NA
"1546","307500013373","P.S. 373K - BROOKLYN TRANSITION CENTER",NA
"1547","307500013396","P.S. 396",NA
"1548","307500013721","PS 721K - BROOKLYN",NA
"1549","307500013753","P.S. 753 SCHOOL FOR CAREER DEVELOPMENT",NA
"1550","307500013771","P.S. 771",NA
"1551","307500013811","PS 811K - CONNIE LEKAS SCHOOL",NA
"1552","307500014004","PS 4Q",NA
"1553","307500014009","WALTER REED SCHOOL",NA
"1554","307500014023","P.S.  23 AT HILLSIDE PSYCH HOSPITAL",NA
"1555","307500014075","ROBERT E. PEARY SCHOOL",NA
"1556","307500014177","P.S. 177",NA
"1557","307500014224","P.S. 224",NA
"1558","307500014233","P.S. 233",NA
"1559","307500014255","P.S. 255",NA
"1560","307500014256","P.S. 256",NA
"1561","307500014277","RIVERVIEW SCHOOL (THE)",NA
"1562","307500014721","PS 721Q - QUEENS OCCUPATIONAL TRAINING CENTER",NA
"1563","307500014752","QUEENS SCHOOL FOR CAREER DEVELOPMENT",NA
"1564","307500014811","PS 811Q",NA
"1565","307500014993","P.S. 993",NA
"1566","307500015025","PS/IS 25 SOUTH RICHMOND HS",NA
"1567","307500015037","P.S.  37",NA
"1568","307500015373","PS 373R",NA
"1569","307500015721","PS 721R - STATEN ISLAND OCCUPATIONAL TRAINING CENTER",NA
"1570","310100010015","PS 15 ROBERTO CLEMENTE",0
"1571","310100010019","PS 19 ASHER LEVY",0
"1572","310100010020","PS 20 ANNA SILVER",0
"1573","310100010034","PS 34 FRANKLIN D ROOSEVELT",1
"1574","310100010063","STAR ACADEMY PS 63 (THE)",0
"1575","310100010064","PS 64 ROBERT SIMON",0
"1576","310100010110","PS 110 FLORENCE NIGHTINGALE",0
"1577","310100010134","PS 134 HENRIETTA SZOLD",0
"1578","310100010140","PS 140 NATHAN STRAUS",2
"1579","310100010142","PS 142 AMALIA CASTRO",0
"1580","310100010184","PS 184 SHUANG WEN",0
"1581","310100010188","PS 188 ISLAND SCHOOL (THE)",3
"1582","310100010315","EAST VILLAGE COMMUNITY SCHOOL (THE)",0
"1583","310100010332","UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL",4
"1584","310100010361","CHILDREN'S WORKSHOP SCHOOL (THE)",0
"1585","310100010363","NEIGHBORHOOD SCHOOL",0
"1586","310100010364","EARTH SCHOOL",0
"1587","310100010378","SCHOOL FOR GLOBAL LEADERS",2
"1588","310100010839","TOMPKINS SQUARE MIDDLE SCHOOL",0
"1589","310100011292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",2
"1590","310100011448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",0
"1591","310100011450","EAST SIDE COMMUNITY SCHOOL",0
"1592","310100011458","FORSYTHE SATELLITE ACADEMY",3
"1593","310100011509","MARTA VALLE HIGH SCHOOL",6
"1594","310100011515","LOWER EAST SIDE PREPARATORY HIGH SCHOOL",0
"1595","310100011539","NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH HIGH SCHOOL",1
"1596","310100011650","CASCADES HIGH SCHOOL",1
"1597","310100011696","BARD HIGH SCHOOL EARLY COLLEGE",0
"1598","310100860866","GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK",0
"1599","310100860873","MANHATTAN CHARTER SCHOOL",2
"1600","310100861031","MANHATTAN CHARTER SCHOOL II",0
